Id,Car_Name,Aspirational_Value,Age,km_driven,fuel,transmission,selling_price
1,WagonR,General,15,50000,Petrol,Manual,135000
7,Indigo,General,8,60000,Petrol,Manual,240000
9,Celerio,General,5,78000,CNG,Manual,365000
17,Amaze,General,8,141000,Diesel,Manual,450000
19,Xcent,General,6,25000,Petrol,Manual,550000
24,Indigo,General,8,100000,Petrol,Manual,250000
26,Ciaz,General,7,24000,Petrol,Manual,585000
28,Enjoy,General,9,33000,Diesel,Manual,390000
31,Brezza,General,4,4500,Diesel,Automatic,975000
33,Honda_City,General,4,14500,Petrol,Manual,930000
35,A6,Premium,9,50000,Diesel,Automatic,1735000
40,Jeep_Compass,Premium,3,10000,Petrol,Manual,1400000
42,i10,General,8,60000,Petrol,Manual,229999
50,Scorpio,Premium,13,120000,Diesel,Manual,411000
55,Eeco,General,4,10200,Petrol,Manual,401000
59,i20,General,8,70000,Diesel,Manual,465000
60,Alto,General,10,60000,Petrol,Manual,160000
68,Tavera,General,12,170000,Diesel,Manual,280000
69,Corolla,Premium,11,130000,Diesel,Manual,350000
70,Scorpio,Premium,5,60000,Diesel,Manual,570000
74,Indica,General,8,166000,Diesel,Manual,125000
75,Swift,General,16,110000,Petrol,Manual,130000
80,Rapid,General,8,120000,Diesel,Manual,450000
84,Elite,General,3,25000,Diesel,Manual,650000
86,Brio,General,7,20000,Petrol,Manual,371000
88,S-Class,Premium,5,6500,Diesel,Automatic,8150000
89,XUV500,Premium,7,70000,Diesel,Manual,750000
91,Santro,General,15,58000,Petrol,Manual,80000
92,Bolero,General,9,62200,Diesel,Manual,325000
104,Maruti 800,General,10,48000,Diesel,Automatic,2500000
105,Bolero,General,5,120000,Diesel,Manual,628000
107,Micra,General,5,30000,Petrol,Manual,399000
109,Elite,General,3,15000,Petrol,Manual,750000
111,Xylo,General,10,60000,Diesel,Manual,600000
114,KWID,General,5,25000,Petrol,Manual,350000
116,Swift,General,8,79350,Diesel,Manual,434000
117,Verna,General,6,80000,Petrol,Automatic,690000
121,Beat,General,9,60000,Diesel,Manual,165000
123,Baleno,General,4,20000,Petrol,Manual,550000
124,Swift,General,15,110000,Diesel,Manual,100000
129,Amaze,General,6,50000,Petrol,Manual,490000
137,Spark,General,10,80000,Petrol,Manual,130000
140,Santro,General,19,57000,Petrol,Manual,75000
146,Ciaz,General,7,100000,Diesel,Manual,525000
148,Santro,General,20,70000,Petrol,Manual,65000
149,Brezza,General,4,35000,Diesel,Manual,800000
150,Santro,General,15,114000,Petrol,Manual,75000
154,EON,General,10,60000,Petrol,Manual,170000
156,WagonR,General,8,90000,LPG,Manual,210000
159,Spark,General,11,100000,Petrol,Manual,99000
170,Beat,General,11,90000,Petrol,Manual,120000
176,Maruti 800,General,18,60000,Petrol,Manual,80000
187,Vento,General,6,70000,Diesel,Automatic,650000
192,Duster,Premium,10,110000,Diesel,Manual,434999
204,Enjoy,General,9,20000,Diesel,Manual,425000
205,EON,General,8,55000,Petrol,Manual,265000
206,Linea,General,4,1136,Petrol,Manual,890000
209,Ciaz,General,6,60000,Diesel,Manual,685000
211,XUV500,Premium,5,40000,Diesel,Manual,1000000
216,i20,General,10,58000,Diesel,Manual,385000
217,Mercedes_C_Class,Premium,9,15000,Diesel,Automatic,2000000
219,Ameo,General,5,56000,Diesel,Manual,640000
220,Alto,General,16,120000,Petrol,Manual,52000
226,Scorpio,Premium,5,20000,Diesel,Manual,1500000
231,SX4,General,14,60000,Petrol,Manual,225000
240,Fabia,General,12,87000,Diesel,Manual,180000
251,Fiesta,General,16,120000,Diesel,Manual,110000
256,Sumo,General,16,100000,Diesel,Manual,115999
260,Jazz,General,13,50000,Petrol,Manual,300000
263,Sumo,General,20,120000,Diesel,Manual,100000
265,Swift,General,5,70000,Diesel,Manual,450000
268,Alto,General,15,175000,Petrol,Manual,100000
272,Bolero,General,3,35000,Diesel,Manual,860000
274,WagonR,General,12,80000,Petrol,Manual,100000
282,Brio,General,5,20000,Petrol,Manual,350000
283,Etios,General,9,50000,Petrol,Manual,229999
284,Alto,General,9,50000,Petrol,Manual,110000
287,Bolero,General,11,90000,Diesel,Manual,350000
288,XUV500,Premium,2,25000,Diesel,Manual,1400000
291,Duster,Premium,7,15000,Diesel,Manual,800000
292,EON,General,4,30000,Petrol,Manual,229999
296,EON,General,7,70000,Petrol,Manual,160000
298,Figo,General,4,14681,Diesel,Manual,624000
302,Sail,General,8,30000,Petrol,Manual,350000
308,Tiago,General,3,19600,Petrol,Manual,425000
317,BMW_320D,Premium,9,167223,Diesel,Automatic,2000000
319,X1,Premium,11,60000,Diesel,Automatic,1375000
326,Swift,General,4,25000,Diesel,Manual,800000
332,Baleno,General,16,120000,Petrol,Manual,80000
333,Indica,General,19,120000,Diesel,Manual,50000
334,Verna,General,4,25000,Diesel,Manual,900000
337,Swift,General,7,60000,Diesel,Manual,490000
339,Nano,General,9,25000,Petrol,Manual,55000
