job,marital,education,loan,age,cons_price_idx,subscribe
white_collar,single,school,no,28,92.843,1
white_collar,married,professional_course,no,36,92.431,1
white_collar,single,professional_course,no,33,93.2,0
white_collar,single,professional_course,no,39,92.893,1
unemployed,single,professional_course,no,25,93.075,1
white_collar,single,professional_course,no,28,93.918,0
white_collar,married,school,no,44,93.749,1
white_collar,married,professional_course,no,48,93.749,1
white_collar,married,professional_course,no,51,93.918,1
self_employed,married,professional_course,no,43,94.465,0
retired,married,professional_course,yes,62,92.201,1
white_collar,married,professional_course,no,52,93.994,0
white_collar,single,professional_course,yes,22,92.379,1
white_collar,divorced,professional_course,yes,36,93.918,0
white_collar,married,professional_course,no,35,93.749,1
unemployed,single,school,yes,22,,1
white_collar,married,professional_course,no,36,93.918,0
blue_collar,single,professional_course,no,40,92.893,1
retired,married,school,no,86,94.199,1
white_collar,single,professional_course,no,27,93.075,1
unemployed,married,professional_course,no,35,92.713,1
white_collar,single,professional_course,no,28,92.201,1
white_collar,single,professional_course,no,26,93.918,0
white_collar,married,professional_course,no,58,94.027,1
blue_collar,married,professional_course,no,29,92.893,1
blue_collar,married,school,no,57,93.749,1
unemployed,single,school,yes,31,93.075,1
blue_collar,married,professional_course,no,48,93.918,0
retired,married,professional_course,yes,63,93.876,1
white_collar,married,professional_course,no,36,94.055,1
unemployed,married,professional_course,no,46,93.2,0
blue_collar,single,professional_course,no,27,92.893,1
self_employed,divorced,school,no,36,93.994,0
unemployed,single,school,no,18,92.649,1
white_collar,married,professional_course,no,52,93.876,1
retired,married,professional_course,no,60,93.444,0
blue_collar,married,professional_course,no,48,93.2,0
retired,married,school,no,78,93.075,1
white_collar,married,professional_course,no,41,92.649,1
white_collar,single,professional_course,no,32,94.215,1
blue_collar,married,professional_course,no,51,93.994,0
retired,married,school,no,61,92.649,1
white_collar,married,school,no,29,92.893,1
white_collar,single,professional_course,no,41,93.2,0
white_collar,single,professional_course,no,33,92.893,1
self_employed,married,professional_course,no,47,93.918,0
blue_collar,married,professional_course,no,33,93.444,0
retired,married,professional_course,yes,61,92.843,1
